id,name,department,experience_level,education_level,age,gender,city,monthly_salary,employeed_id,date_of_join,designation,basic_salary,hra,special_allowance,conveyance,pf,income_tax,other_deductions,total_earnings,total_deductions,net_pay,pan,uan,bank_account
573,Vijay Reddy,finance,Junior,Bachelor,60,female,pune,38987,sco-00573,20-12-2025,Software Engineer,50000,20000,10000,1600,1800,8000,300,81600,10100,71500,ABCDE1572F,1.002E+11,XXXXXX1572
574,Sonali Pandey,operation,Junior,Bachelor,57,male,pune,33729,sco-00574,31-08-2018,Software Engineer,50000,20000,10000,1600,1800,8000,300,81600,10100,71500,ABCDE1573F,1.002E+11,XXXXXX1573
575,Irfan Gupta,HR,Senior,Master,35,female,chennai,114438,sco-00575,06-04-2015,Software Engineer,50000,20000,10000,1600,1800,8000,300,81600,10100,71500,ABCDE1574F,1.002E+11,XXXXXX1574
576,Harshit Verma,finance,Junior,Master,44,male,banglore,40272,sco-00576,22-10-2011,Software Engineer,50000,20000,10000,1600,1800,8000,300,81600,10100,71500,ABCDE1575F,1.002E+11,XXXXXX1575
577,Uday Ghosh,it,Lead,PhD,63,female,mumbai,179548,sco-00577,31-12-2020,Software Engineer,50000,20000,10000,1600,1800,8000,300,81600,10100,71500,ABCDE1576F,1.002E+11,XXXXXX1576
578,Vikram Nair,marketing,Mid,Diploma,28,male,pune,70529,sco-00578,15-09-2010,Software Engineer,50000,20000,10000,1600,1800,8000,300,81600,10100,71500,ABCDE1577F,1.002E+11,XXXXXX1577
579,Kiara Rao,it,Lead,Master,58,male,pune,168488,sco-00579,15-02-2015,Software Engineer,50000,20000,10000,1600,1800,8000,300,81600,10100,71500,ABCDE1578F,1.002E+11,XXXXXX1578
580,Sunita Deshmukh,finance,Junior,Bachelor,38,female,hyderbad,32653,sco-00580,31-01-2018,Software Engineer,50000,20000,10000,1600,1800,8000,300,81600,10100,71500,ABCDE1579F,1.002E+11,XXXXXX1579
581,Tanushree Shetty,marketing,Senior,Bachelor,45,male,banglore,117825,sco-00581,13-08-2012,Software Engineer,50000,20000,10000,1600,1800,8000,300,81600,10100,71500,ABCDE1580F,1.002E+11,XXXXXX1580
582,Aravind Naik,finance,Mid,Diploma,30,male,banglore,56843,sco-00582,30-06-2010,Software Engineer,50000,20000,10000,1600,1800,8000,300,81600,10100,71500,ABCDE1581F,1.002E+11,XXXXXX1581
583,Sachin Shetty,HR,Senior,Bachelor,34,female,pune,98669,sco-00583,17-09-2020,Software Engineer,50000,20000,10000,1600,1800,8000,300,81600,10100,71500,ABCDE1582F,1.002E+11,XXXXXX1582
584,Gaurav Mehta,operation,Fresher,Diploma,55,female,banglore,18991,sco-00584,30-06-2025,Software Engineer,50000,20000,10000,1600,1800,8000,300,81600,10100,71500,ABCDE1583F,1.002E+11,XXXXXX1583
585,Manju Khanna,marketing,Junior,PhD,50,male,hyderbad,38748,sco-00585,05-01-2014,Software Engineer,50000,20000,10000,1600,1800,8000,300,81600,10100,71500,ABCDE1584F,1.002E+11,XXXXXX1584
586,Rameshwar Jadhav,HR,Mid,Diploma,37,female,mumbai,58238,sco-00586,09-10-2017,Software Engineer,50000,20000,10000,1600,1800,8000,300,81600,10100,71500,ABCDE1585F,1.002E+11,XXXXXX1585
587,Payal Chatterjee,marketing,Fresher,Master,56,male,pune,18531,sco-00587,25-08-2012,Software Engineer,50000,20000,10000,1600,1800,8000,300,81600,10100,71500,ABCDE1586F,1.002E+11,XXXXXX1586
588,Shivam Kaur,marketing,Junior,Bachelor,58,female,pune,43385,sco-00588,10-05-2014,Software Engineer,50000,20000,10000,1600,1800,8000,300,81600,10100,71500,ABCDE1587F,1.002E+11,XXXXXX1587
589,Kiranmayi Pawar,HR,Lead,PhD,57,male,mumbai,156776,sco-00589,08-06-2022,Software Engineer,50000,20000,10000,1600,1800,8000,300,81600,10100,71500,ABCDE1588F,1.002E+11,XXXXXX1588
590,Sita Pawar,it,Fresher,Diploma,63,female,hyderbad,21702,sco-00590,12-11-2017,Software Engineer,50000,20000,10000,1600,1800,8000,300,81600,10100,71500,ABCDE1589F,1.002E+11,XXXXXX1589
591,Hitesh Patel,finance,Lead,Bachelor,40,female,banglore,186959,sco-00591,30-03-2011,Software Engineer,50000,20000,10000,1600,1800,8000,300,81600,10100,71500,ABCDE1590F,1.002E+11,XXXXXX1590
592,Bharat Malik,it,Mid,PhD,42,female,mumbai,62281,sco-00592,22-05-2020,Software Engineer,50000,20000,10000,1600,1800,8000,300,81600,10100,71500,ABCDE1591F,1.002E+11,XXXXXX1591
593,Faizan Mukherjee,finance,Lead,Master,45,male,chennai,160734,sco-00593,07-07-2025,Software Engineer,50000,20000,10000,1600,1800,8000,300,81600,10100,71500,ABCDE1592F,1.002E+11,XXXXXX1592
594,Madhav Arora,marketing,Junior,Diploma,38,female,mumbai,43141,sco-00594,27-08-2021,Software Engineer,50000,20000,10000,1600,1800,8000,300,81600,10100,71500,ABCDE1593F,1.002E+11,XXXXXX1593
595,Manoj Khanna,operation,Lead,Bachelor,58,male,mumbai,215195,sco-00595,28-01-2011,Software Engineer,50000,20000,10000,1600,1800,8000,300,81600,10100,71500,ABCDE1594F,1.002E+11,XXXXXX1594
596,Sakshi Kaur,HR,Lead,Bachelor,45,female,chennai,186129,sco-00596,27-07-2024,Software Engineer,50000,20000,10000,1600,1800,8000,300,81600,10100,71500,ABCDE1595F,1.002E+11,XXXXXX1595
597,Ayaan Kaur,finance,Lead,Master,44,male,banglore,211765,sco-00597,31-12-2019,Software Engineer,50000,20000,10000,1600,1800,8000,300,81600,10100,71500,ABCDE1596F,1.002E+11,XXXXXX1596
598,Simran Iyer,it,Junior,Master,54,male,hyderbad,31908,sco-00598,01-12-2014,Software Engineer,50000,20000,10000,1600,1800,8000,300,81600,10100,71500,ABCDE1597F,1.002E+11,XXXXXX1597
599,Naresh Kulkarni,HR,Mid,Bachelor,54,male,mumbai,46191,sco-00599,27-10-2014,Software Engineer,50000,20000,10000,1600,1800,8000,300,81600,10100,71500,ABCDE1598F,1.002E+11,XXXXXX1598
600,Soumya Nair,marketing,Mid,Bachelor,29,male,chennai,50952,sco-00600,31-05-2022,Software Engineer,50000,20000,10000,1600,1800,8000,300,81600,10100,71500,ABCDE1599F,1.002E+11,XXXXXX1599
601,Prakash Rao,finance,Fresher,Bachelor,35,female,pune,26763,sco-00601,05-10-2025,Software Engineer,50000,20000,10000,1600,1800,8000,300,81600,10100,71500,ABCDE1600F,1.002E+11,XXXXXX1600
602,Antony Iyer,marketing,Mid,Bachelor,45,female,mumbai,50315,sco-00602,15-07-2017,Software Engineer,50000,20000,10000,1600,1800,8000,300,81600,10100,71500,ABCDE1601F,1.002E+11,XXXXXX1601
603,Joseph Jadhav,finance,Fresher,Diploma,35,male,hyderbad,18384,sco-00603,18-07-2024,Software Engineer,50000,20000,10000,1600,1800,8000,300,81600,10100,71500,ABCDE1602F,1.002E+11,XXXXXX1602
604,Vimala Agarwal,HR,Senior,Master,51,male,chennai,113052,sco-00604,17-06-2014,Software Engineer,50000,20000,10000,1600,1800,8000,300,81600,10100,71500,ABCDE1603F,1.002E+11,XXXXXX1603
605,Sneha Pandey,marketing,Mid,Bachelor,55,male,chennai,62043,sco-00605,13-07-2010,Software Engineer,50000,20000,10000,1600,1800,8000,300,81600,10100,71500,ABCDE1604F,1.002E+11,XXXXXX1604
606,Aditya Mishra,HR,Junior,PhD,32,male,pune,33679,sco-00606,22-08-2022,Software Engineer,50000,20000,10000,1600,1800,8000,300,81600,10100,71500,ABCDE1605F,1.002E+11,XXXXXX1605
607,Naresh Yadav,operation,Senior,Diploma,23,female,banglore,75122,sco-00607,10-04-2023,Software Engineer,50000,20000,10000,1600,1800,8000,300,81600,10100,71500,ABCDE1606F,1.002E+11,XXXXXX1606
608,Lavanya Ghosh,it,Mid,Bachelor,61,female,banglore,45425,sco-00608,29-10-2020,Software Engineer,50000,20000,10000,1600,1800,8000,300,81600,10100,71500,ABCDE1607F,1.002E+11,XXXXXX1607
609,Rudra Tiwari,it,Mid,Master,54,male,banglore,46828,sco-00609,23-03-2017,Software Engineer,50000,20000,10000,1600,1800,8000,300,81600,10100,71500,ABCDE1608F,1.002E+11,XXXXXX1608
610,Lakshay Das,HR,Mid,PhD,34,male,mumbai,71741,sco-00610,02-09-2014,Software Engineer,50000,20000,10000,1600,1800,8000,300,81600,10100,71500,ABCDE1609F,1.002E+11,XXXXXX1609
611,Savita Hegde,finance,Fresher,PhD,25,female,chennai,27974,sco-00611,18-03-2014,Software Engineer,50000,20000,10000,1600,1800,8000,300,81600,10100,71500,ABCDE1610F,1.002E+11,XXXXXX1610
612,Ishita Pandey,marketing,Lead,Diploma,53,male,banglore,192894,sco-00612,27-04-2020,Software Engineer,50000,20000,10000,1600,1800,8000,300,81600,10100,71500,ABCDE1611F,1.002E+11,XXXXXX1611
613,Amit Hegde,operation,Junior,Bachelor,33,female,chennai,37548,sco-00613,18-01-2026,Software Engineer,50000,20000,10000,1600,1800,8000,300,81600,10100,71500,ABCDE1612F,1.002E+11,XXXXXX1612
614,Antony Pandey,HR,Senior,Bachelor,30,female,chennai,125970,sco-00614,08-11-2017,Software Engineer,50000,20000,10000,1600,1800,8000,300,81600,10100,71500,ABCDE1613F,1.002E+11,XXXXXX1613
615,Lakshman Pandey,marketing,Lead,Diploma,48,male,banglore,145043,sco-00615,01-09-2014,Software Engineer,50000,20000,10000,1600,1800,8000,300,81600,10100,71500,ABCDE1614F,1.002E+11,XXXXXX1614
616,Vaishnavi Tiwari,marketing,Lead,Master,46,male,banglore,189176,sco-00616,26-01-2025,Software Engineer,50000,20000,10000,1600,1800,8000,300,81600,10100,71500,ABCDE1615F,1.002E+11,XXXXXX1615
617,Krishna Tiwari,operation,Fresher,Master,26,female,banglore,19382,sco-00617,16-03-2023,Software Engineer,50000,20000,10000,1600,1800,8000,300,81600,10100,71500,ABCDE1616F,1.002E+11,XXXXXX1616
618,Aravind Deshmukh,it,Junior,Diploma,26,male,mumbai,38332,sco-00618,15-10-2022,Software Engineer,50000,20000,10000,1600,1800,8000,300,81600,10100,71500,ABCDE1617F,1.002E+11,XXXXXX1617
619,Hema Hegde,operation,Lead,Master,63,female,hyderbad,160300,sco-00619,03-01-2017,Software Engineer,50000,20000,10000,1600,1800,8000,300,81600,10100,71500,ABCDE1618F,1.002E+11,XXXXXX1618
620,Navya Khanna,it,Fresher,Master,52,male,hyderbad,21756,sco-00620,04-02-2024,Software Engineer,50000,20000,10000,1600,1800,8000,300,81600,10100,71500,ABCDE1619F,1.002E+11,XXXXXX1619
621,Komal Deshmukh,marketing,Junior,Master,42,male,banglore,28868,sco-00621,03-10-2018,Software Engineer,50000,20000,10000,1600,1800,8000,300,81600,10100,71500,ABCDE1620F,1.002E+11,XXXXXX1620
622,Anusha Reddy,operation,Senior,Master,63,male,hyderbad,84170,sco-00622,12-03-2016,Software Engineer,50000,20000,10000,1600,1800,8000,300,81600,10100,71500,ABCDE1621F,1.002E+11,XXXXXX1621
623,Ramesh Agarwal,operation,Mid,PhD,39,male,pune,51029,sco-00623,21-11-2023,Software Engineer,50000,20000,10000,1600,1800,8000,300,81600,10100,71500,ABCDE1622F,1.002E+11,XXXXXX1622
624,Vaishnavi Yadav,operation,Senior,PhD,52,male,pune,81967,sco-00624,24-07-2023,Software Engineer,50000,20000,10000,1600,1800,8000,300,81600,10100,71500,ABCDE1623F,1.002E+11,XXXXXX1623
625,Anjali Naik,marketing,Lead,Diploma,29,male,chennai,156231,sco-00625,06-05-2012,Software Engineer,50000,20000,10000,1600,1800,8000,300,81600,10100,71500,ABCDE1624F,1.002E+11,XXXXXX1624
626,Sanjay Malik,HR,Mid,Master,60,male,pune,50552,sco-00626,07-10-2022,Software Engineer,50000,20000,10000,1600,1800,8000,300,81600,10100,71500,ABCDE1625F,1.002E+11,XXXXXX1625
627,Lalit Verma,it,Mid,Master,60,male,mumbai,63754,sco-00627,20-11-2012,Software Engineer,50000,20000,10000,1600,1800,8000,300,81600,10100,71500,ABCDE1626F,1.002E+11,XXXXXX1626
628,Ganesh Iyer,marketing,Mid,Diploma,30,male,mumbai,59702,sco-00628,06-09-2019,Software Engineer,50000,20000,10000,1600,1800,8000,300,81600,10100,71500,ABCDE1627F,1.002E+11,XXXXXX1627
629,Vishal Iyer,marketing,Lead,Diploma,33,female,banglore,194583,sco-00629,27-11-2013,Software Engineer,50000,20000,10000,1600,1800,8000,300,81600,10100,71500,ABCDE1628F,1.002E+11,XXXXXX1628
630,Shreya Verma,it,Mid,Bachelor,40,female,banglore,47988,sco-00630,21-07-2015,Software Engineer,50000,20000,10000,1600,1800,8000,300,81600,10100,71500,ABCDE1629F,1.002E+11,XXXXXX1629
631,Aakash Agarwal,operation,Senior,Master,25,male,chennai,88784,sco-00631,07-02-2014,Software Engineer,50000,20000,10000,1600,1800,8000,300,81600,10100,71500,ABCDE1630F,1.002E+11,XXXXXX1630
632,Aakash Bansal,operation,Lead,PhD,57,female,chennai,173282,sco-00632,07-11-2010,Software Engineer,50000,20000,10000,1600,1800,8000,300,81600,10100,71500,ABCDE1631F,1.002E+11,XXXXXX1631
633,Yuvan Chatterjee,HR,Senior,Bachelor,49,female,mumbai,84805,sco-00633,24-11-2015,Software Engineer,50000,20000,10000,1600,1800,8000,300,81600,10100,71500,ABCDE1632F,1.002E+11,XXXXXX1632
634,Yashwant Deshmukh,marketing,Fresher,Diploma,54,male,chennai,18992,sco-00634,04-09-2021,Software Engineer,50000,20000,10000,1600,1800,8000,300,81600,10100,71500,ABCDE1633F,1.002E+11,XXXXXX1633
635,Vivaan Malhotra,it,Fresher,Bachelor,26,male,hyderbad,19380,sco-00635,03-04-2013,Software Engineer,50000,20000,10000,1600,1800,8000,300,81600,10100,71500,ABCDE1634F,1.002E+11,XXXXXX1634
636,Mrunal Shetty,it,Lead,PhD,26,male,pune,187515,sco-00636,14-02-2018,Software Engineer,50000,20000,10000,1600,1800,8000,300,81600,10100,71500,ABCDE1635F,1.002E+11,XXXXXX1635
637,Sushma Patel,HR,Senior,Bachelor,63,male,mumbai,108934,sco-00637,15-10-2021,Software Engineer,50000,20000,10000,1600,1800,8000,300,81600,10100,71500,ABCDE1636F,1.002E+11,XXXXXX1636
638,George Malhotra,HR,Junior,Bachelor,49,female,mumbai,32390,sco-00638,18-11-2025,Software Engineer,50000,20000,10000,1600,1800,8000,300,81600,10100,71500,ABCDE1637F,1.002E+11,XXXXXX1637
639,Atharva Verma,marketing,Senior,Master,51,male,hyderbad,109673,sco-00639,05-02-2018,Software Engineer,50000,20000,10000,1600,1800,8000,300,81600,10100,71500,ABCDE1638F,1.002E+11,XXXXXX1638
640,Padmini Deshmukh,marketing,Lead,Master,36,male,chennai,196082,sco-00640,08-01-2016,Software Engineer,50000,20000,10000,1600,1800,8000,300,81600,10100,71500,ABCDE1639F,1.002E+11,XXXXXX1639
641,Aditya Yadav,marketing,Senior,Master,39,male,pune,124883,sco-00641,14-03-2022,Software Engineer,50000,20000,10000,1600,1800,8000,300,81600,10100,71500,ABCDE1640F,1.002E+11,XXXXXX1640
642,George Nair,marketing,Fresher,Master,54,male,pune,19688,sco-00642,01-03-2010,Software Engineer,50000,20000,10000,1600,1800,8000,300,81600,10100,71500,ABCDE1641F,1.002E+11,XXXXXX1641
643,Aditya Mukherjee,marketing,Senior,Bachelor,52,male,banglore,114557,sco-00643,18-04-2013,Software Engineer,50000,20000,10000,1600,1800,8000,300,81600,10100,71500,ABCDE1642F,1.002E+11,XXXXXX1642
644,Ravi Singh,marketing,Junior,PhD,43,female,mumbai,40185,sco-00644,04-05-2020,Software Engineer,50000,20000,10000,1600,1800,8000,300,81600,10100,71500,ABCDE1643F,1.002E+11,XXXXXX1643
645,Bharti Malhotra,marketing,Junior,Master,44,male,mumbai,40416,sco-00645,17-08-2015,Software Engineer,50000,20000,10000,1600,1800,8000,300,81600,10100,71500,ABCDE1644F,1.002E+11,XXXXXX1644
646,Deepak Verma,marketing,Lead,Bachelor,64,female,chennai,135129,sco-00646,02-06-2017,Software Engineer,50000,20000,10000,1600,1800,8000,300,81600,10100,71500,ABCDE1645F,1.002E+11,XXXXXX1645
647,Amit Jadhav,it,Junior,Diploma,55,male,pune,37296,sco-00647,17-08-2014,Software Engineer,50000,20000,10000,1600,1800,8000,300,81600,10100,71500,ABCDE1646F,1.002E+11,XXXXXX1646
648,Saraswati Yadav,finance,Fresher,PhD,44,female,banglore,22288,sco-00648,24-04-2011,Software Engineer,50000,20000,10000,1600,1800,8000,300,81600,10100,71500,ABCDE1647F,1.002E+11,XXXXXX1647
649,Priya Mehta,HR,Mid,Master,35,male,hyderbad,60645,sco-00649,14-06-2023,Software Engineer,50000,20000,10000,1600,1800,8000,300,81600,10100,71500,ABCDE1648F,1.002E+11,XXXXXX1648
650,Rahul Mukherjee,marketing,Senior,Diploma,25,female,banglore,113759,sco-00650,29-07-2025,Software Engineer,50000,20000,10000,1600,1800,8000,300,81600,10100,71500,ABCDE1649F,1.002E+11,XXXXXX1649
651,Priya Joshi,marketing,Junior,Master,59,male,chennai,40549,sco-00651,03-02-2012,Software Engineer,50000,20000,10000,1600,1800,8000,300,81600,10100,71500,ABCDE1650F,1.002E+11,XXXXXX1650
652,Renuka Gupta,marketing,Junior,Bachelor,37,male,mumbai,42111,sco-00652,15-08-2011,Software Engineer,50000,20000,10000,1600,1800,8000,300,81600,10100,71500,ABCDE1651F,1.002E+11,XXXXXX1651
653,Vihaan Agarwal,it,Fresher,Diploma,52,male,mumbai,19827,sco-00653,09-02-2016,Software Engineer,50000,20000,10000,1600,1800,8000,300,81600,10100,71500,ABCDE1652F,1.002E+11,XXXXXX1652
654,Mukesh Kulkarni,HR,Junior,Master,53,male,chennai,36916,sco-00654,22-12-2016,Software Engineer,50000,20000,10000,1600,1800,8000,300,81600,10100,71500,ABCDE1653F,1.002E+11,XXXXXX1653
655,Bhavya Das,HR,Fresher,Master,49,male,pune,27474,sco-00655,09-12-2014,Software Engineer,50000,20000,10000,1600,1800,8000,300,81600,10100,71500,ABCDE1654F,1.002E+11,XXXXXX1654
656,John Das,HR,Mid,Diploma,52,male,banglore,45356,sco-00656,30-09-2023,Software Engineer,50000,20000,10000,1600,1800,8000,300,81600,10100,71500,ABCDE1655F,1.002E+11,XXXXXX1655
657,Padma Arora,finance,Lead,Diploma,52,female,chennai,206930,sco-00657,18-08-2021,Software Engineer,50000,20000,10000,1600,1800,8000,300,81600,10100,71500,ABCDE1656F,1.002E+11,XXXXXX1656
658,Sita Pawar,finance,Senior,Bachelor,52,male,mumbai,76496,sco-00658,22-10-2010,Software Engineer,50000,20000,10000,1600,1800,8000,300,81600,10100,71500,ABCDE1657F,1.002E+11,XXXXXX1657
659,Jagruti Ghosh,HR,Lead,Bachelor,61,female,banglore,204763,sco-00659,30-12-2025,Software Engineer,50000,20000,10000,1600,1800,8000,300,81600,10100,71500,ABCDE1658F,1.002E+11,XXXXXX1658
660,Dev Reddy,it,Mid,PhD,47,female,hyderbad,62748,sco-00660,14-05-2015,Software Engineer,50000,20000,10000,1600,1800,8000,300,81600,10100,71500,ABCDE1659F,1.002E+11,XXXXXX1659
661,Sudha Gill,HR,Senior,Diploma,46,female,pune,123375,sco-00661,19-04-2016,Software Engineer,50000,20000,10000,1600,1800,8000,300,81600,10100,71500,ABCDE1660F,1.002E+11,XXXXXX1660
662,Amit Agarwal,it,Junior,Bachelor,28,male,hyderbad,35968,sco-00662,20-06-2010,Software Engineer,50000,20000,10000,1600,1800,8000,300,81600,10100,71500,ABCDE1661F,1.002E+11,XXXXXX1661
663,Vivaan Sharma,HR,Mid,Bachelor,48,female,mumbai,61871,sco-00663,27-06-2011,Software Engineer,50000,20000,10000,1600,1800,8000,300,81600,10100,71500,ABCDE1662F,1.002E+11,XXXXXX1662
664,Monika Kulkarni,finance,Junior,PhD,39,male,hyderbad,36201,sco-00664,28-01-2017,Software Engineer,50000,20000,10000,1600,1800,8000,300,81600,10100,71500,ABCDE1663F,1.002E+11,XXXXXX1663
665,Deepak Singh,HR,Senior,Diploma,38,female,banglore,118069,sco-00665,14-04-2018,Software Engineer,50000,20000,10000,1600,1800,8000,300,81600,10100,71500,ABCDE1664F,1.002E+11,XXXXXX1664
666,Alok Tiwari,HR,Senior,Diploma,40,male,chennai,123977,sco-00666,19-10-2021,Software Engineer,50000,20000,10000,1600,1800,8000,300,81600,10100,71500,ABCDE1665F,1.002E+11,XXXXXX1665
667,Lakshmi Mishra,marketing,Junior,Diploma,47,male,chennai,42132,sco-00667,29-09-2017,Software Engineer,50000,20000,10000,1600,1800,8000,300,81600,10100,71500,ABCDE1666F,1.002E+11,XXXXXX1666
668,Aarna Gupta,operation,Senior,Diploma,46,male,mumbai,125926,sco-00668,20-04-2010,Software Engineer,50000,20000,10000,1600,1800,8000,300,81600,10100,71500,ABCDE1667F,1.002E+11,XXXXXX1667
669,Bharat Kaur,it,Senior,Master,25,male,pune,117427,sco-00669,11-10-2022,Software Engineer,50000,20000,10000,1600,1800,8000,300,81600,10100,71500,ABCDE1668F,1.002E+11,XXXXXX1668
670,Aakash Mukherjee,operation,Lead,Diploma,28,male,mumbai,158792,sco-00670,28-11-2013,Software Engineer,50000,20000,10000,1600,1800,8000,300,81600,10100,71500,ABCDE1669F,1.002E+11,XXXXXX1669
671,Bharat Mukherjee,marketing,Junior,Diploma,22,female,banglore,36354,sco-00671,12-06-2020,Software Engineer,50000,20000,10000,1600,1800,8000,300,81600,10100,71500,ABCDE1670F,1.002E+11,XXXXXX1670
672,Tara Gupta,it,Mid,Diploma,33,male,banglore,51883,sco-00672,06-01-2017,Software Engineer,50000,20000,10000,1600,1800,8000,300,81600,10100,71500,ABCDE1671F,1.002E+11,XXXXXX1671
673,Brijesh Mehta,finance,Lead,PhD,38,male,pune,142886,sco-00673,13-09-2016,Software Engineer,50000,20000,10000,1600,1800,8000,300,81600,10100,71500,ABCDE1672F,1.002E+11,XXXXXX1672
674,Kareena Kapoor,HR,Junior,PhD,48,male,pune,35775,sco-00674,03-09-2014,Software Engineer,50000,20000,10000,1600,1800,8000,300,81600,10100,71500,ABCDE1673F,1.002E+11,XXXXXX1673
675,Reyansh Khanna,marketing,Mid,Diploma,50,male,pune,46527,sco-00675,25-10-2022,Software Engineer,50000,20000,10000,1600,1800,8000,300,81600,10100,71500,ABCDE1674F,1.002E+11,XXXXXX1674
676,Mohan Patel,finance,Lead,Diploma,32,female,hyderbad,161273,sco-00676,12-06-2017,Software Engineer,50000,20000,10000,1600,1800,8000,300,81600,10100,71500,ABCDE1675F,1.002E+11,XXXXXX1675
677,Manan Bansal,operation,Mid,Diploma,30,male,mumbai,45136,sco-00677,04-09-2010,Software Engineer,50000,20000,10000,1600,1800,8000,300,81600,10100,71500,ABCDE1676F,1.002E+11,XXXXXX1676
678,Tejas Kaur,finance,Lead,PhD,23,male,pune,183129,sco-00678,03-02-2023,Software Engineer,50000,20000,10000,1600,1800,8000,300,81600,10100,71500,ABCDE1677F,1.002E+11,XXXXXX1677
679,Ananth Gupta,HR,Mid,PhD,61,male,pune,54002,sco-00679,08-02-2022,Software Engineer,50000,20000,10000,1600,1800,8000,300,81600,10100,71500,ABCDE1678F,1.002E+11,XXXXXX1678
680,Yogesh Pawar,it,Fresher,Bachelor,59,male,banglore,25375,sco-00680,26-06-2021,Software Engineer,50000,20000,10000,1600,1800,8000,300,81600,10100,71500,ABCDE1679F,1.002E+11,XXXXXX1679
681,Ajay Verma,it,Fresher,Master,39,female,banglore,24711,sco-00681,02-01-2023,Software Engineer,50000,20000,10000,1600,1800,8000,300,81600,10100,71500,ABCDE1680F,1.002E+11,XXXXXX1680
682,Aparna Joshi,marketing,Junior,PhD,61,male,banglore,37889,sco-00682,20-07-2013,Software Engineer,50000,20000,10000,1600,1800,8000,300,81600,10100,71500,ABCDE1681F,1.002E+11,XXXXXX1681
683,Ganga Patel,finance,Fresher,PhD,38,female,chennai,22788,sco-00683,08-12-2011,Software Engineer,50000,20000,10000,1600,1800,8000,300,81600,10100,71500,ABCDE1682F,1.002E+11,XXXXXX1682
684,Ira Khanna,operation,Lead,Master,51,female,banglore,136190,sco-00684,23-11-2015,Software Engineer,50000,20000,10000,1600,1800,8000,300,81600,10100,71500,ABCDE1683F,1.002E+11,XXXXXX1683
685,Isha Pawar,finance,Lead,PhD,27,male,pune,207269,sco-00685,10-06-2012,Software Engineer,50000,20000,10000,1600,1800,8000,300,81600,10100,71500,ABCDE1684F,1.002E+11,XXXXXX1684
686,Narayan Ghosh,finance,Mid,Master,24,female,chennai,65603,sco-00686,15-12-2017,Software Engineer,50000,20000,10000,1600,1800,8000,300,81600,10100,71500,ABCDE1685F,1.002E+11,XXXXXX1685
687,Hari Mehta,operation,Fresher,Diploma,57,male,chennai,25030,sco-00687,11-09-2011,Software Engineer,50000,20000,10000,1600,1800,8000,300,81600,10100,71500,ABCDE1686F,1.002E+11,XXXXXX1686
688,Divya Iyer,operation,Mid,Bachelor,51,male,pune,50993,sco-00688,05-04-2015,Software Engineer,50000,20000,10000,1600,1800,8000,300,81600,10100,71500,ABCDE1687F,1.002E+11,XXXXXX1687
689,Tara Mishra,marketing,Fresher,PhD,46,male,mumbai,26728,sco-00689,13-05-2020,Software Engineer,50000,20000,10000,1600,1800,8000,300,81600,10100,71500,ABCDE1688F,1.002E+11,XXXXXX1688
690,Shreya Jadhav,operation,Senior,Master,36,female,banglore,118813,sco-00690,15-07-2015,Software Engineer,50000,20000,10000,1600,1800,8000,300,81600,10100,71500,ABCDE1689F,1.002E+11,XXXXXX1689
691,Sharmila Gill,it,Lead,Diploma,39,female,chennai,205429,sco-00691,09-07-2011,Software Engineer,50000,20000,10000,1600,1800,8000,300,81600,10100,71500,ABCDE1690F,1.002E+11,XXXXXX1690
692,Pallavi Bansal,HR,Fresher,Diploma,39,male,pune,21388,sco-00692,07-06-2021,Software Engineer,50000,20000,10000,1600,1800,8000,300,81600,10100,71500,ABCDE1691F,1.002E+11,XXXXXX1691
693,Ganga Hegde,finance,Fresher,Master,59,female,chennai,21427,sco-00693,24-04-2017,Software Engineer,50000,20000,10000,1600,1800,8000,300,81600,10100,71500,ABCDE1692F,1.002E+11,XXXXXX1692
694,Sameer Mishra,finance,Senior,Bachelor,50,male,banglore,102691,sco-00694,24-09-2022,Software Engineer,50000,20000,10000,1600,1800,8000,300,81600,10100,71500,ABCDE1693F,1.002E+11,XXXXXX1693
695,Prajna Shetty,marketing,Senior,PhD,57,male,chennai,125977,sco-00695,03-02-2012,Software Engineer,50000,20000,10000,1600,1800,8000,300,81600,10100,71500,ABCDE1694F,1.002E+11,XXXXXX1694
696,Swathi Singh,marketing,Lead,Diploma,58,female,mumbai,149053,sco-00696,07-07-2013,Software Engineer,50000,20000,10000,1600,1800,8000,300,81600,10100,71500,ABCDE1695F,1.002E+11,XXXXXX1695
697,Sonali Pandey,finance,Fresher,Bachelor,52,male,banglore,20903,sco-00697,12-07-2021,Software Engineer,50000,20000,10000,1600,1800,8000,300,81600,10100,71500,ABCDE1696F,1.002E+11,XXXXXX1696
698,Mohan Malik,it,Mid,Diploma,28,female,chennai,59627,sco-00698,09-11-2017,Software Engineer,50000,20000,10000,1600,1800,8000,300,81600,10100,71500,ABCDE1697F,1.002E+11,XXXXXX1697
699,Lakshay Mishra,HR,Lead,Master,44,female,chennai,199326,sco-00699,06-06-2019,Software Engineer,50000,20000,10000,1600,1800,8000,300,81600,10100,71500,ABCDE1698F,1.002E+11,XXXXXX1698
700,Sana Patel,HR,Senior,Diploma,52,female,banglore,78110,sco-00700,05-09-2012,Software Engineer,50000,20000,10000,1600,1800,8000,300,81600,10100,71500,ABCDE1699F,1.002E+11,XXXXXX1699
